Slice	Count	Total Area	Average Size	%Area	Mean
Mig_Mut_put_switched_petri.tif	14	0.03257	0.00233	0.53496	41789.51270
J_M_pos_control.tif	573	1.18281	0.00206	14.91121	32041.77416
