	Label	Area	Mean	Min	Max
73	J_M_pos_control.tif	0.00152	34550.37736	24452	46632
74	J_M_pos_control.tif	0.00076	31563.47170	24736	38628
75	J_M_pos_control.tif	0.00203	34612.22535	24448	46488
76	J_M_pos_control.tif	0.00545	33511.63158	24664	44684
77	J_M_pos_control.tif	0.00125	34148.96552	24484	44376
78	J_M_pos_control.tif	0.00546	31398.53018	24472	41884
79	J_M_pos_control.tif	0.00257	36643.39665	24528	50064
80	J_M_pos_control.tif	0.00064	30287.64444	24552	36324
81	J_M_pos_control.tif	0.00120	31794.76190	24608	40188
82	J_M_pos_control.tif	0.00120	31580.42857	24588	40004
83	J_M_pos_control.tif	0.00182	32937.41732	24476	43160
84	J_M_pos_control.tif	0.00140	33312.65306	24568	42816
85	J_M_pos_control.tif	0.00195	35180.20588	24696	47124
86	J_M_pos_control.tif	0.00161	33742.96429	24632	44628
87	J_M_pos_control.tif	0.00211	33619.07483	24548	44596
88	J_M_pos_control.tif	0.00345	34469.49378	24472	48556
89	J_M_pos_control.tif	0.00246	34998.16279	24456	48240
90	J_M_pos_control.tif	0.00113	32286.58228	24620	40716
91	J_M_pos_control.tif	0.00248	34550.08092	24456	46632
92	J_M_pos_control.tif	0.00188	33299.20611	24628	44520
93	J_M_pos_control.tif	0.00196	34656.55474	24800	46052
94	J_M_pos_control.tif	0.00043	30380.66667	24500	35516
95	J_M_pos_control.tif	0.00139	32997.89691	24520	42108
96	J_M_pos_control.tif	0.00226	34706.93671	24444	46268
97	J_M_pos_control.tif	0.00274	33690.21990	24544	44220
98	J_M_pos_control.tif	0.00107	33207.36000	24764	43680
99	J_M_pos_control.tif	0.00097	31808.70588	24692	39072
100	J_M_pos_control.tif	0.00116	33808.83951	24760	42568
101	J_M_pos_control.tif	0.00324	34248.83186	24636	44652
102	J_M_pos_control.tif	0.00205	33624.95105	24548	44272
103	J_M_pos_control.tif	0.00321	36328.91071	24532	50256
104	J_M_pos_control.tif	0.00042	29364.00000	24912	34296
105	J_M_pos_control.tif	0.00325	32930.99559	24460	43784
106	J_M_pos_control.tif	0.00235	33485.12195	24460	44128
107	J_M_pos_control.tif	0.00178	34960.64516	24456	46912
108	J_M_pos_control.tif	0.00168	35699.24786	24464	47988
109	J_M_pos_control.tif	0.00375	34135.80153	24472	44864
110	J_M_pos_control.tif	0.00245	35769.33333	25040	46836
111	J_M_pos_control.tif	0.00288	35247.02488	24496	46640
112	J_M_pos_control.tif	0.00136	33921.93684	24708	44280
113	J_M_pos_control.tif	0.00179	33240.41600	24576	46228
114	J_M_pos_control.tif	0.00314	33860.45662	24856	44860
115	J_M_pos_control.tif	0.00120	33778.71429	24496	43232
116	J_M_pos_control.tif	0.00113	32405.77215	24672	39636
117	J_M_pos_control.tif	0.00159	33680.79279	24512	45432
118	J_M_pos_control.tif	0.00258	34464.97778	24480	46268
119	J_M_pos_control.tif	0.00360	35026.99602	24620	47120
120	J_M_pos_control.tif	0.00126	33678.54545	24460	42136
121	J_M_pos_control.tif	0.00171	32564.60504	24448	42620
122	J_M_pos_control.tif	0.00344	33847.51667	24448	46904
123	J_M_pos_control.tif	0.00255	34757.37079	24632	47312
124	J_M_pos_control.tif	0.00428	35608.64214	24460	48060
125	J_M_pos_control.tif	0.00307	32521.49533	24476	40796
126	J_M_pos_control.tif	0.00100	34017.48571	24664	43248
127	J_M_pos_control.tif	0.00209	34967.89041	24468	45128
